YEAR,STATION,Entries 06:00 to 10:00,Exits 06:00 to 10:00,Entries 10:00 to 15:00,Exits 10:00 to 15:00,Entries 15:00 to 19:00,Exits 15:00 to 19:00,Entries 19:00  to 06:00,Exits 19:00  to 06:00,Entries 24 hours,Exits 24 hours
2016,Warrimoo Station,-,-,-,-,-,-,-,-,220,190
2016,Warwick Farm Station,1470,210,320,260,300,1290,320,510,2410,2270
2016,Waterfall Station,-,-,-,-,-,-,-,-,440,420
2016,Waverton Station,1320,310,500,330,470,1000,130,490,2420,2130
2016,Wentworth Falls Station,190,100,120,80,100,170,50,70,460,420
2016,Wentworthville Station,2280,250,560,460,390,1800,290,740,3520,3250
2016,Werrington Station,710,70,140,120,120,630,150,180,1120,1000
2016,West Ryde Station,2460,600,840,650,790,2150,330,1020,4420,4420
2016,Westmead Station,3220,2590,1630,1260,2630,2480,580,1320,8060,7650
2016,Wickham Station,-,-,-,-,-,-,-,-,10,0
2016,Wiley Park Station,920,110,480,350,260,750,200,490,1860,1700
2016,Windsor Station,510,110,150,120,120,480,130,150,910,860
2016,Wingello Station,-,-,-,-,-,-,-,-,10,0
2016,Wirragulla Station,-,-,-,-,-,-,-,-,0,0
2016,Wolli Creek Station,3060,560,1370,830,1280,2770,680,2220,6390,6380
2016,Wollongong Station,660,470,410,370,470,590,280,390,1820,1820
2016,Wollstonecraft Station,1910,170,490,340,350,1410,110,650,2860,2570
2016,Wombarra Station,-,-,-,-,-,-,-,-,30,20
2016,Wondabyne Station,-,-,-,-,-,-,-,-,10,10
2016,Woodford Station,-,-,-,-,-,-,-,-,110,100
2016,Woolooware Station,840,90,160,160,120,670,80,230,1200,1150
2016,Woonona Station,-,-,-,-,-,-,-,-,150,120
2016,Woy Woy Station,2960,230,600,570,280,3100,740,840,4580,4740
2016,Wyee Station,-,-,-,-,-,-,-,-,240,210
2016,Wynyard Station,6260,51920,11790,12880,44530,9560,10340,3370,72920,77730
2016,Wyong Station,730,180,230,230,180,710,310,260,1450,1380
2016,Yagoona Station,960,120,360,230,210,870,180,360,1710,1580
2016,Yennora Station,430,320,180,130,290,350,70,200,970,1000
2016,Yerrinbool Station,-,-,-,-,-,-,-,-,10,10
2016,Zig Zag Station,-,-,-,-,-,-,-,-,0,0
2017,Aberdeen Station,-,-,-,-,-,-,-,-,0,0
2017,Adamstown Station,-,-,-,-,-,-,-,-,80,60
2017,Albion Park Station,-,-,-,-,-,-,-,-,310,250
2017,Allawah Station,1820,160,640,370,360,1370,260,870,3080,2770
2017,Arncliffe Station,1530,200,450,330,440,1190,180,670,2600,2390
2017,Artarmon Station,3770,930,1040,920,1410,2950,370,1370,6590,6170
2017,Ashfield Station,6360,2430,3200,2150,3190,5830,1320,3430,14070,13840
2017,Asquith Station,1010,320,270,170,320,660,50,240,1650,1390
2017,Auburn Station,4550,2190,3340,2500,3240,4910,1630,2830,12760,12430
2017,Austinmer Station,-,-,-,-,-,-,-,-,150,130
2017,Awaba Station,-,-,-,-,-,-,-,-,20,10
2017,Banksia Station,1270,110,270,180,230,1030,100,420,1870,1740
